Report Date,Property Name,Unit Number,Size,Baths,Floor Plan Name,Square Feet,Unit Status,Total Market Rent,Lease Type Current Lease,Lease Term Current Lease,Lease End Date Current Lease,Notice On Date Current Lease,Notice For Date Current Lease,Lease Rent Current Lease,MTMFees Current Lease,Length Of Stay,Status,Renewal Status,Lease Type Future Lease,Lease Start Date Future Lease,Lease End Date Future Lease,Move In Date Future Lease,Lease Rent Future Lease,Make Ready Date Future Lease
14/09/2020,My Property,19102,1,1,A1,828,Normal,905,New,13,30/09/2020,31/07/2020,30/09/2020,895,0,12,NA,NTV,,,,,0,
14/09/2020,My Property,19103,0,1,E1,670,Normal,815,New,12,02/02/2021,,,775,0,7,OC,Undecided,,,,,0,
14/09/2020,My Property,19104,0,1,E1,670,Normal,815,New,12,04/07/2021,,,775,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,19105,0,1,E1,670,Normal,815,New,12,31/10/2020,,,750,0,10,OC,Undecided,,,,,0,
14/09/2020,My Property,19106,0,1,E1,670,Normal,815,New,13,31/10/2020,,,750,0,11,OC,Undecided,,,,,0,
14/09/2020,My Property,19107,1,1,A1,828,Normal,905,New,13,31/07/2021,,,895,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,19108,1,1,A1,828,Normal,905,New,14,31/10/2020,,,895,0,12,OC,Undecided,,,,,0,
14/09/2020,My Property,19201,1,1,A1,828,Normal,895,New,13,30/11/2020,,,895,0,10,OC,Undecided,,,,,0,
14/09/2020,My Property,19202,1,1,A1,828,Normal,895,New,13,30/11/2020,,,895,0,10,OC,Undecided,,,,,0,
14/09/2020,My Property,19203,0,1,E1,670,Normal,805,New,13,30/11/2020,,,750,0,10,OC,Undecided,,,,,0,
14/09/2020,My Property,19204,0,1,E1,670,Normal,805,New,13,30/11/2020,,,750,0,10,OC,Undecided,,,,,0,
14/09/2020,My Property,19205,0,1,E1,670,Normal,805,New,13,31/10/2020,,,750,0,11,OC,Undecided,,,,,0,
14/09/2020,My Property,19206,0,1,E1,670,Normal,805,New,12,04/08/2021,,,775,0,1,OC,Undecided,,,,,0,
14/09/2020,My Property,19207,1,1,A1,828,Normal,895,New,13,30/11/2020,,,895,0,10,OC,Undecided,,,,,0,
14/09/2020,My Property,19208,1,1,A1,828,Normal,895,New,12,30/11/2020,,,895,0,9,OC,Undecided,,,,,0,
14/09/2020,My Property,19301,1,1,A1,828,Normal,895,New,13,31/12/2020,,,895,0,9,OC,Undecided,,,,,0,
14/09/2020,My Property,19302,1,1,A1,828,Normal,895,New,13,30/11/2020,,,895,0,10,OC,Undecided,,,,,0,
14/09/2020,My Property,19303,0,1,E1,670,Normal,805,New,13,31/10/2020,,,750,0,11,OC,Undecided,,,,,0,
14/09/2020,My Property,19304,0,1,E1,670,Normal,805,New,12,31/08/2021,,,775,0,0,OC,Undecided,,,,,0,
